names,url,pkgmans,total_pkgs
"[{""name"":www/py-httpx-socks,""pkgman"":freebsd12},{""name"":www/py-httpx-socks,""pkgman"":netbsd9}]",https://github.com/romis2012/httpx-socks,"[freebsd12,netbsd9]",2
"[{""name"":www/py-pelican,""pkgman"":freebsd12},{""name"":www/pelican,""pkgman"":openbsd69}]",https://github.com/getpelican/pelican,"[freebsd12,openbsd69]",2
"[{""name"":www/py-textile,""pkgman"":freebsd12},{""name"":textproc/py-textile,""pkgman"":netbsd9}]",https://github.com/textile/python-textile,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/ftwin,""pkgman"":freebsd12},{""name"":sysutils/ftwin,""pkgman"":netbsd9}]",https://github.com/fpesce/ftwin,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/fusefs-simple-mtpfs,""pkgman"":freebsd12},{""name"":sysutils/simple-mtpfs,""pkgman"":openbsd69}]",https://github.com/phatina/simple-mtpfs,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/htop,""pkgman"":freebsd12},{""name"":sysutils/htop,""pkgman"":openbsd69}]",https://github.com/htop-dev/htop,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/hw-probe,""pkgman"":freebsd12},{""name"":sysutils/hw-probe,""pkgman"":openbsd69}]",https://github.com/linuxhw/hw-probe,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/ioping,""pkgman"":freebsd12},{""name"":sysutils/ioping,""pkgman"":openbsd69}]",https://github.com/koct9i/ioping,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/libtree,""pkgman"":freebsd12},{""name"":sysutils/libtree,""pkgman"":netbsd9}]",https://github.com/haampie/libtree,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/lr,""pkgman"":freebsd12},{""name"":misc/lr,""pkgman"":netbsd9}]",https://github.com/leahneukirchen/lr,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/lscpu,""pkgman"":freebsd12},{""name"":sysutils/lscpu,""pkgman"":openbsd69}]",https://github.com/NanXiao/lscpu,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/lsyncd,""pkgman"":freebsd12},{""name"":sysutils/lsyncd,""pkgman"":openbsd69}]",https://github.com/axkibe/lsyncd,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/neofetch,""pkgman"":freebsd12},{""name"":sysutils/neofetch,""pkgman"":netbsd9},{""name"":sysutils/neofetch,""pkgman"":openbsd69}]",https://github.com/dylanaraps/neofetch,"[freebsd12,netbsd9,openbsd69]",3
"[{""name"":sysutils/node_exporter,""pkgman"":freebsd12},{""name"":sysutils/node_exporter,""pkgman"":netbsd9}]",https://github.com/prometheus/node_exporter,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/nomad,""pkgman"":freebsd12},{""name"":sysutils/nomad,""pkgman"":openbsd69}]",https://github.com/hashicorp/nomad,"[freebsd12,openbsd69]",2
"[{""name"":shells/zsh-autosuggestions,""pkgman"":freebsd12},{""name"":shells/zsh-autosuggestions,""pkgman"":netbsd9}]",https://github.com/zsh-users/zsh-autosuggestions,"[freebsd12,netbsd9]",2
"[{""name"":shells/zsh-completions,""pkgman"":freebsd12},{""name"":shells/zsh-completions,""pkgman"":netbsd9}]",https://github.com/zsh-users/zsh-completions,"[freebsd12,netbsd9]",2
"[{""name"":shells/zsh-syntax-highlighting,""pkgman"":freebsd12},{""name"":shells/zsh-syntax-highlighting,""pkgman"":openbsd69},{""name"":shells/zsh-syntax-highlighting,""pkgman"":netbsd9}]",https://github.com/zsh-users/zsh-syntax-highlighting,"[freebsd12,openbsd69,netbsd9]",3
"[{""name"":sysutils/UEFITool,""pkgman"":freebsd12},{""name"":sysutils/uefitool,""pkgman"":openbsd69}]",https://github.com/LongSoft/UEFITool,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/amazon-ssm-agent,""pkgman"":freebsd12},{""name"":sysutils/amazon-ssm-agent,""pkgman"":openbsd69}]",https://github.com/aws/amazon-ssm-agent,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/apachetop,""pkgman"":freebsd12},{""name"":www/apachetop,""pkgman"":netbsd9}]",https://github.com/tessus/apachetop,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/atf-fvp,""pkgman"":freebsd12},{""name"":sysutils/atf-master,""pkgman"":freebsd12},{""name"":sysutils/atf-rk3328,""pkgman"":freebsd12},{""name"":sysutils/atf-rk3399,""pkgman"":freebsd12},{""name"":sysutils/atf-sun50i_a64,""pkgman"":freebsd12},{""name"":sysutils/atf-sun50i_h6,""pkgman"":freebsd12},{""name"":sysutils/arm-trusted-firmware,""pkgman"":openbsd69}]",https://github.com/ARM-software/arm-trusted-firmware,"[freebsd12,openbsd69]",7
"[{""name"":sysutils/auto-admin,""pkgman"":freebsd12},{""name"":sysutils/auto-admin,""pkgman"":netbsd9}]",https://github.com/outpaddling/auto-admin,"[freebsd12,netbsd9]",2
"[{""name"":sysutils/azure-agent,""pkgman"":freebsd12},{""name"":sysutils/waagent,""pkgman"":openbsd69}]",https://github.com/Azure/WALinuxAgent,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/bfs,""pkgman"":freebsd12},{""name"":sysutils/bfs,""pkgman"":openbsd69}]",https://github.com/tavianator/bfs,"[freebsd12,openbsd69]",2
"[{""name"":sysutils/conky-awesome,""pkgman"":freebsd12},{""name"":sysutils/conky,""pkgman"":freebsd12},{""name"":sysutils/conky,""pkgman"":openbsd69}]",https://github.com/brndnmtthws/conky,"[freebsd12,openbsd69]",3
"[{""name"":sysutils/consolekit2,""pkgman"":freebsd12},{""name"":sysutils/consolekit,""pkgman"":openbsd69},{""name"":sysutils/consolekit,""pkgman"":netbsd9}]",https://github.com/ConsoleKit2/ConsoleKit2,"[freebsd12,openbsd69,netbsd9]",3
