materials,url,pkgmans
"[cranelift-reader,cranelift-simplejit,cranelift-faerie,cranelift-interpreter,cranelift-serde,wiggle-runtime,wasmtime-api,wiggle-test,wasmtime-wiggle-macro,wasmtime-interface-types,wasi-tokio,wasmtime-wasi-c,substrate-wasmtime-profiling,cranelift,cranelift-object,wasmtime-debug,substrate-wasmtime-jit,cranelift-preopt,substrate-wasmtime-runtime,lightbeam,wig,wasi-common-cbindgen,wiggle-macro,wiggle-borrow,wasmtime-profiling,wasmtime-wasi-crypto,wasmtime-rust-macro,wasmtime-jit-debug,wasmtime-py,wasmtime-cli,wasmtime-wast,wasmtime-wiggle,wasmtime-wasi-nn,wasmtime-rust,cranelift-module,wasmtime-cache,wasmtime-types,wasmtime-jit,cranelift-codegen,cranelift-native,cranelift-codegen-shared,wasmtime-runtime,wasmtime-cranelift,cranelift-bforest,cranelift-frontend,wasmtime,wasmtime-lightbeam,cranelift-entity,wasmtime-environ,cranelift-wasm,wasmtime-obj,cranelift-codegen-meta,wasmtime-fiber,cranelift-jit,wasi-common,wiggle-generate,substrate-wasmtime,wiggle,wasi-cap-std-sync,wasmtime-wasi,yanix]",https://github.com/bytecodealliance/wasmtime,"[cargo,conan]"
"[zoxide,sysutils/zoxide]",https://github.com/ajeetdsouza/zoxide,"[cargo,freebsd12]"
"[tiny-broke,@tiny-broke/client]",https://github.com/fabienjuif/tiny-broke,"[cargo,npm]"
"[converter,@cashio/cashio]",https://github.com/cashioapp/cashio,"[cargo,npm]"
"[cln-grpc,cln-rpc,net-p2p/c-lightning]",https://github.com/ElementsProject/lightning,"[cargo,freebsd12]"
"[colloquy,devel/notcurses]",https://github.com/dankamongmen/notcurses,"[cargo,freebsd12]"
"[yume,net-im/yume]",https://github.com/yamafaktory/yume,"[cargo,freebsd12]"
"[cloak,security/cloak]",https://github.com/evansmurithi/cloak,"[cargo,freebsd12]"
"[tmux,zellij,sysutils/zellij]",https://github.com/zellij-org/zellij,"[cargo,freebsd12]"
"[xls2txt,databases/xls2txt]",https://github.com/masklinn/xls2txt,"[cargo,freebsd12]"
"[git-absorb,devel/git-absorb]",https://github.com/tummychow/git-absorb,"[cargo,freebsd12]"
"[rx-editor,graphics/rx]",https://github.com/cloudhead/rx,"[cargo,freebsd12]"
"[devboat-docker,generator-botgen,react-native-mytestplugin]",http://test.com,"[cargo,npm]"
"[wasm-edge-rs,wasmedge,wasmedge-rust,wasmedge-rs,wasm-edge,edge-wasm]",https://wasmedge.com/,"[cargo,npm]"
"[bddisasm-sys,bddisasm]",https://github.com/bitdefender/bddisasm,"[cargo,vcpkg]"
"[bebop,bebop-tools]",https://github.com/RainwayApp/bebop,"[cargo,npm]"
"[s2n-tls-tokio,s2n-tls-sys,s2n-tls,s2n,security/s2n]",https://github.com/aws/s2n-tls,"[cargo,conan,vcpkg,freebsd12]"
"[czkawka_gui,czkawka_gui_orbtk,czkawka_cli,czkawka_core,sysutils/czkawka]",https://github.com/qarmin/czkawka,"[cargo,freebsd12]"
"[bandwhich,net-mgmt/bandwhich]",https://github.com/imsnif/bandwhich,"[cargo,freebsd12]"
"[vaultwarden,security/vaultwarden]",https://github.com/dani-garcia/vaultwarden,"[cargo,freebsd12]"
"[vivid,sysutils/vivid]",https://github.com/sharkdp/vivid,"[cargo,freebsd12]"
"[cryptoballot,misc/cryptoballot]",https://github.com/cryptoballot/cryptoballot,"[cargo,freebsd12]"
"[websocat,www/websocat]",https://github.com/vi/websocat,"[cargo,freebsd12]"
"[videotorno,cuco,apoloche,ipcuco,bitcuco]",https://bitcu.co/,"[cargo,npm]"
[cratchit],https://www.github.com/jwir3/cratchit,"[cargo,npm]"
"[unjson,easter,joker,esprit,estree]",https://github.com/dherman/esprit,"[cargo,npm]"
"[av1an-cli,av1an-core,av1an,multimedia/av1an]",https://github.com/master-of-zen/Av1an,"[cargo,freebsd12]"
"[autocorrect,autocorrect-derive,@huacnlee/autocorrect]",https://github.com/huacnlee/autocorrect,"[cargo,npm]"
"[sunny-anchor,arrow-sunny,@arrowprotocol/arrow]",https://github.com/arrowprotocol/arrow,"[cargo,npm]"
"[breakpad,sentry-breakpad]",https://github.com/getsentry/breakpad,"[cargo,conan]"
[approveapi],https://approveapi.com,"[cargo,npm]"
"[bsll_crate,lang/rust,lang/rust-src]",https://www.rust-lang.org/,"[cargo,netbsd9]"
"[bupstash,sysutils/bupstash]",https://github.com/andrewchambers/bupstash,"[cargo,freebsd12]"
"[bigvec,@cyberjack10000/infinity,smashup]",https://www.youtube.com/watch?v=dQw4w9WgXcQ,"[cargo,npm]"
"[mcfly,sysutils/mcfly]",https://github.com/cantino/mcfly,"[cargo,freebsd12]"
"[viu,graphics/viu]",https://github.com/atanunq/viu,"[cargo,freebsd12]"
"[ab-av1,multimedia/ab-av1]",https://github.com/alexheretic/ab-av1,"[cargo,freebsd12]"
"[bingrep,devel/bingrep]",https://github.com/m4b/bingrep,"[cargo,freebsd12]"
"[sandboxfs,sysutils/fusefs-sandboxfs]",https://github.com/bazelbuild/sandboxfs,"[cargo,freebsd12]"
"[qlog,octets,quiche,net/quiche]",https://github.com/cloudflare/quiche,"[cargo,freebsd12]"
"[alacritty,alacritty_config_derive,alacritty_terminal,x11/alacritty]",https://github.com/alacritty/alacritty,"[cargo,freebsd12,netbsd9]"
"[axe_fx_midi,bspaulding/axe-fx-midi]",https://github.com/bspaulding/axe-fx-midi,"[cargo,clojars]"
"[lsd,sysutils/lsd]",https://github.com/Peltoche/lsd,"[cargo,freebsd12]"
"[wezterm-color-types,wezterm-bidi,portable-pty,wezterm-ssh,filedescriptor,termwiz,vtparse,tabout,x11/wezterm]",https://github.com/wez/wezterm,"[cargo,freebsd12]"
[grafbase],https://grafbase.com,"[cargo,npm]"
"[librespot-playback,librespot,librespot-core,librespot-connect,librespot-metadata,librespot-protocol,librespot-discovery,multimedia/librespot]",https://github.com/librespot-org/librespot,"[cargo,freebsd12]"
"[oi,snd,src,just,deskutils/just]",https://github.com/casey/just,"[cargo,freebsd12]"
"[tree-sitter,tree-sitter-loader,tree-sitter-config,tree-sitter-tags,tree-sitter-cli,tree-sitter-highlight,devel/tree-sitter]",https://github.com/tree-sitter/tree-sitter,"[cargo,freebsd12]"
"[apache-avro,avro-c,avro-cpp]",https://github.com/apache/avro,"[cargo,vcpkg]"
"[jwt-cli,www/jwt-cli]",https://github.com/mike-engel/jwt-cli,"[cargo,freebsd12]"
"[taplo-lsp,taplo-cli,taplo,@taplo/cli,@taplo/lib,@taplo/lsp]",https://github.com/tamasfe/taplo,"[cargo,npm]"
"[xsv,textproc/xsv-rs]",https://github.com/BurntSushi/xsv,"[cargo,freebsd12]"
"[iota-pow,iota-client,iota-model,iota-validation,iota-conversion,iota-constants,iota-signing,iota-utils,iota-lib-rs,@iota/client]",https://github.com/iotaledger/iota.rs,"[cargo,npm]"
"[proby,net/proby]",https://github.com/svenstaro/proby,"[cargo,freebsd12]"
"[girt-config,girt-display,girt-core,girt-input,girt-view,girt-todo-file,girt-git,git-interactive-rebase-tool,devel/interactive_rebase_tool]",https://github.com/MitMaro/git-interactive-rebase-tool,"[cargo,freebsd12]"
"[near-sdk-witgen,witme]",https://github.com/ahalabs/witme,"[cargo,npm]"
"[modularize_imports,styled_jsx,styled_components,swc_emotion,@divmain/next,@ferenci84/next,@hitorisensei/next,@outsmartly/next.js,@there-so/next,tracing-next]",https://github.com/vercel/next.js.git,"[cargo,npm]"
[orgize],https://github.com/PoiScript/orgize,"[cargo,npm]"
"[exa,sysutils/exa]",https://github.com/ogham/exa,"[cargo,freebsd12,openbsd69]"
"[mbd,mbd-wasm]",https://github.com/grtlr/mbd-wasm,"[cargo,npm]"
"[jless,textproc/jless]",https://github.com/PaulJuliusMartinez/jless,"[cargo,freebsd12]"
[pigmnts],https://github.com/blenderskool/pigmnts/tree/master/lib,"[cargo,npm]"
"[fselect,sysutils/fselect]",https://github.com/jhspetersson/fselect,"[cargo,freebsd12]"
"[tbb,onetbb,devel/onetbb,devel/tbb]",https://github.com/oneapi-src/oneTBB,"[cargo,conan,freebsd12,openbsd69]"
"[dtool,devel/dtool]",https://github.com/guoxbin/dtool,"[cargo,freebsd12]"
"[ncspot,audio/ncspot]",https://github.com/hrkfdn/ncspot,"[cargo,freebsd12,openbsd69]"
"[hexyl,sysutils/hexyl]",https://github.com/sharkdp/hexyl,"[cargo,freebsd12]"
