id,url,count_deps,count_total
120,https://github.com/biojppm/c4core,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 2}",4
191,https://github.com/apache/thrift,"{'conan': 1, 'vcpkg': 3}",4
190,https://github.com/xiph/theora,"{'conan': 1, 'vcpkg': 3}",4
40,https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.36.1.tar.xz,"{'chromebrew': 1, 'homebrew': 3}",4
39,https://github.com/sass/libsass.git,"{'chromebrew': 3, 'homebrew': 1}",4
113,https://github.com/awslabs/aws-crt-cpp,"{'conan': 1, 'freebsd12': 2, 'vcpkg': 1}",4
38,https://github.com/knik0/faac/archive/refs/tags/1_30.tar.gz,"{'chromebrew': 1, 'homebrew': 3}",4
172,https://github.com/OctoMap/octomap,"{'conan': 1, 'freebsd12': 3}",4
296,https://github.com/neovim/unibilium,"{'freebsd12': 2, 'netbsd9': 0, 'openbsd69': 2}",4
294,https://github.com/KhronosGroup/SPIRV-LLVM-Translator,"{'freebsd12': 3, 'netbsd9': 1}",4
23,https://github.com/Dav1dde/glad,"{'cargo': 1, 'conan': 0, 'vcpkg': 3, 'freebsd12': 0, 'netbsd9': 0}",4
318,https://github.com/ocaml/Zarith,"{'freebsd12': 3, 'netbsd9': 0, 'openbsd69': 1}",4
320,https://github.com/LWJGL/lwjgl,"{'freebsd12': 3, 'openbsd69': 1}",4
322,https://github.com/ksnip/kColorPicker,"{'freebsd12': 2, 'openbsd69': 2}",4
332,https://github.com/traviscross/mtr,"{'freebsd12': 3, 'openbsd69': 1}",4
130,https://github.com/Microsoft/cpprestsdk,"{'conan': 2, 'vcpkg': 2, 'freebsd12': 0}",4
138,https://github.com/beached/header_libraries,"{'conan': 2, 'vcpkg': 2}",4
342,https://github.com/neovim/neovim,"{'freebsd12': 3, 'openbsd69': 1}",4
6,https://github.com/cronos-so/cronos,"{'cargo': 3, 'npm': 1}",4
193,https://github.com/ToruNiina/toml11,"{'conan': 1, 'freebsd12': 3, 'vcpkg': 0}",4
81,https://github.com/flexible-collision-library/fcl,"{'conan': 0, 'vcpkg': 2, 'freebsd12': 2}",4
288,https://github.com/ocaml-community/cppo,"{'freebsd12': 1, 'openbsd69': 3}",4
234,https://github.com/mongodb/libbson,"{'freebsd12': 2, 'vcpkg': 2}",4
205,https://github.com/agauniyal/rang,"{'conan': 2, 'vcpkg': 0, 'freebsd12': 2}",4
204,https://github.com/alanxz/rabbitmq-c,"{'conan': 0, 'vcpkg': 0, 'freebsd12': 3, 'netbsd9': 0, 'openbsd69': 1}",4
101,https://github.com/alembic/alembic,"{'conan': 0, 'freebsd12': 3, 'openbsd69': 1}",4
200,https://github.com/Maratyszcza/pthreadpool,"{'conan': 1, 'vcpkg': 3, 'freebsd12': 0}",4
72,https://github.com/lvandeve/lodepng,"{'conan': 2, 'vcpkg': 2}",4
242,https://github.com/ros/console_bridge,"{'vcpkg': 1, 'freebsd12': 3}",4
74,https://github.com/Neargye/magic_enum,"{'conan': 3, 'vcpkg': 1}",4
221,https://github.com/hopsoft/cable_ready,"{'npm': 1, 'rubygems': 3}",4
331,https://github.com/signalapp/libsignal-protocol-c,"{'freebsd12': 1, 'openbsd69': 2}",3
96,https://github.com/google/highway,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 1}",3
228,https://github.com/adafruit/Adafruit-GFX-Library,"{'npm': 2, 'openbsd69': 1}",3
31,https://github.com/georgmartius/vid.stab/archive/v1.1.0.tar.gz,"{'chromebrew': 1, 'homebrew': 2}",3
