name,nodelist,count,notes
libunistring,"[{""name"":libunistring,""pkgman"":VCPKG},{""name"":libunistring,""pkgman"":Chromebrew},{""name"":libunistring,""pkgman"":Conan},{""name"":libunistring,""pkgman"":Homebrew}]",4,
liburing,"[{""name"":liburing,""pkgman"":VCPKG},{""name"":liburing,""pkgman"":Cargo},{""name"":liburing,""pkgman"":Chromebrew},{""name"":liburing,""pkgman"":Conan}]",4,
libusb,"[{""name"":libusb,""pkgman"":VCPKG},{""name"":libusb,""pkgman"":Alire},{""name"":libusb,""pkgman"":Chromebrew},{""name"":libusb,""pkgman"":Conan},{""name"":libusb,""pkgman"":Homebrew},{""name"":libusb,""pkgman"":Cargo},{""name"":libusb,""pkgman"":Nimble}]",7,
libusbmuxd,"[{""name"":libusbmuxd,""pkgman"":VCPKG},{""name"":libusbmuxd,""pkgman"":Chromebrew},{""name"":libusbmuxd,""pkgman"":Homebrew}]",3,
libuuid,"[{""name"":libuuid,""pkgman"":VCPKG},{""name"":libuuid,""pkgman"":Chromebrew},{""name"":libuuid,""pkgman"":Conan}]",3,
libuv,"[{""name"":libuv,""pkgman"":VCPKG},{""name"":libuv,""pkgman"":Cargo},{""name"":libuv,""pkgman"":Chromebrew},{""name"":libuv,""pkgman"":Conan},{""name"":libuv,""pkgman"":Homebrew},{""name"":libuv,""pkgman"":Nimble}]",6,
libuvc,"[{""name"":libuvc,""pkgman"":VCPKG},{""name"":libuvc,""pkgman"":Conan},{""name"":libuvc,""pkgman"":Homebrew}]",3,
libvorbis,"[{""name"":libvorbis,""pkgman"":VCPKG},{""name"":libvorbis,""pkgman"":Chromebrew},{""name"":libvorbis,""pkgman"":Homebrew}]",3,
libvpx,"[{""name"":libvpx,""pkgman"":VCPKG},{""name"":libvpx,""pkgman"":Cargo},{""name"":libvpx,""pkgman"":Chromebrew},{""name"":libvpx,""pkgman"":Conan},{""name"":libvpx,""pkgman"":Homebrew}]",5,
libwebm,"[{""name"":libwebm,""pkgman"":VCPKG},{""name"":libwebm,""pkgman"":Cargo},{""name"":libwebm,""pkgman"":Homebrew}]",3,
