:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version1650homebrew,functionalplus,homebrew,0.2.18,Version,https://github.com/Dobiasd/FunctionalPlus/archive/v0.2.18-p0.tar.gz,https://github.com/Dobiasd/FunctionalPlus
version1083conan,fxdiv,conan,cci.20200417,Version,,https://github.com/Maratyszcza/FXdiv
version587vcpkg,fxdiv,vcpkg,2021-02-21,Version,,https://github.com/Maratyszcza/FXdiv
version1084conan,g3log,conan,1.3.3,Version,,https://github.com/KjellKod/g3log
version1665homebrew,g3log,homebrew,1.3.4,Version,https://github.com/KjellKod/g3log/archive/1.3.4.tar.gz,https://github.com/KjellKod/g3log
version589vcpkg,g3log,vcpkg,1.3.4,Version,,https://github.com/KjellKod/g3log
version1088conan,gamenetworkingsockets,conan,1.3.0,Version,,https://github.com/ValveSoftware/GameNetworkingSockets
version592vcpkg,gamenetworkingsockets,vcpkg,1.3.0,Version,,https://github.com/ValveSoftware/GameNetworkingSockets
version1108conan,gemmlowp,conan,cci.20210928,Version,,https://github.com/google/gemmlowp
version602vcpkg,gemmlowp,vcpkg,2021-09-28,Version,,https://github.com/google/gemmlowp
version1122conan,getdns,conan,1.6.0,Version,,https://getdnsapi.net/
version608vcpkg,getdns,vcpkg,1.7.0,Version,,https://getdnsapi.net/
version1130conan,ghc-filesystem,conan,1.5.12,Version,,https://github.com/gulrak/filesystem
version614vcpkg,ghc-filesystem,vcpkg,1.5.10,Version,,https://github.com/gulrak/filesystem
version1138conan,glad,conan,0.1.35,Version,,https://github.com/Dav1dde/glad
version620vcpkg,glad,vcpkg,0.1.34,Version,,https://github.com/Dav1dde/glad
version1876homebrew,glbinding,homebrew,2.1.4,Version,https://github.com/cginternals/glbinding/archive/v2.1.4.tar.gz,https://github.com/cginternals/glbinding
version621vcpkg,glbinding,vcpkg,3.1.0,Version,,https://github.com/cginternals/glbinding
version1963homebrew,gobject-introspection,homebrew,1.72.0,Version,https://download.gnome.org/sources/gobject-introspection/1.72/gobject-introspection-1.72.0.tar.xz,https://gi.readthedocs.io/en/latest/
version637vcpkg,gobject-introspection,vcpkg,1.70.0,Version,,https://gi.readthedocs.io/en/latest/
version1216conan,google-cloud-cpp,conan,1.40.1,Version,,https://github.com/googleapis/google-cloud-cpp
version638vcpkg,google-cloud-cpp,vcpkg,1.38.0,Version,,https://github.com/googleapis/google-cloud-cpp
version1227conan,greatest,conan,1.5.0,Version,,https://github.com/silentbicycle/greatest
version651vcpkg,greatest,vcpkg,1.5.0,Version,,https://github.com/silentbicycle/greatest
version1259conan,gst-libav,conan,1.19.1,Version,,https://gstreamer.freedesktop.org/
version2099homebrew,gst-libav,homebrew,1.20.1,Version,https://gstreamer.freedesktop.org/src/gst-libav/gst-libav-1.20.1.tar.xz,https://gstreamer.freedesktop.org/
version1260conan,gst-plugins-bad,conan,1.19.1,Version,,https://gstreamer.freedesktop.org/
version2100homebrew,gst-plugins-bad,homebrew,1.20.1,Version,https://gstreamer.freedesktop.org/src/gst-plugins-bad/gst-plugins-bad-1.20.1.tar.xz,https://gstreamer.freedesktop.org/
version1261conan,gst-plugins-base,conan,1.19.2,Version,,https://gstreamer.freedesktop.org/
version2101homebrew,gst-plugins-base,homebrew,1.20.1,Version,https://gstreamer.freedesktop.org/src/gst-plugins-base/gst-plugins-base-1.20.1.tar.xz,https://gstreamer.freedesktop.org/
version1263conan,gst-plugins-good,conan,1.19.1,Version,,https://gstreamer.freedesktop.org/
